kecamatan;kelurahan;jumlah_kelurahan;batas_wilayah.utara;batas_wilayah.timur;batas_wilayah.selatan;batas_wilayah.barat;karakteristik_topografi;luas_wilayah;total_penduduk;link_peta
Gunungpati;Sumurrejo;-;Kelurahan Mangunsari dan Pakintelan;Kelurahan Pudakpayung;Kabupaten Semarang;Kelurahan Plalangan;-;3.68;3556;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1014.pdf
Mijen;Karangmalang;-;Kelurahan Polaman;Kabupaten Kendal;Kabupaten Kendal.;Kelurahan Bubakan;-;1.97;2819;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1003.pdf
Mijen;Bubakan;-;Kelurahan Tambangan dan Purwosari;Kelurahan Karangmalang dan Polaman;Kabupaten Kendal.;Kelurahan Cangkringan dan Tambangan;-;2.51;4073;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1002.pdf
Mijen;Polaman;-;Kelurahan Purwosari dan Cepoko;Kelurahan Cepoko dan Kabupaten Kendal;Kelurahan Karangmalang;Kelurahan Bubakan;-;1.78;1972;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1004.pdf
Gunungpati;Plalangan;-;Kelurahan Nongkosawit dan Ngijo;Kelurahan Mangunsari dan Sumurrejo;Kabupaten Semarang;Kelurahan Gunungpati;-;3.54;7050;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1003.pdf
Mijen;Cangkiran;-;Kelurahan Jatisari;Kelurahan Tambangan dan Bubakan;Kabupaten Kendal;Kabupaten Kendal;-;2.4;5144;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1001.pdf
Banyumanik;Pudakpayung;-;Kelurahan Banyumanik;Kelurahan Gedawang dan Kabupaten Semarang;Kabupaten Semarang;Kelurahan Pakintelan dan Sumurrejo;-;6.18;24907;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1001.pdf
Gunungpati;Pakintelan;-;Kelurahan Patemon;Kelurahan Banyumanik dan Pudakpayung;Kelurahan Sumurrejo;Kelurahan Mangunsari;-;3.76;6615;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1001.pdf
Banyumanik;Gedawang;-;Kelurahan Padangsari dan Jabungan;Kelurahan Jabungan;Kelurahan Pudakpayung dan Kabupaten Semarang;Kelurahan Banyumanik dan Pudakpayung;-;3.82;11443;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1002.pdf
Gunungpati;Mangunsari;-;Kelurahan Ngijo;Kelurahan Patemon dan Pakintelan;Kelurahan Sumurrejo;Kelurahan Plalangan;-;3.39;4293;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1002.pdf
Gunungpati;Gunungpati;-;Kelurahan Cepoko dan Nongkosawit;Kelurahan Plalangan;Kabupaten Semarang;Kabupaten Kendal;-;4.86;4320;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1004.pdf
Banyumanik;Banyumanik;-;Kelurahan Srondol Wetan, Srondol Kulon, dan Padangsari;Kelurahan Gedawang dan Padangsari;Kelurahan Pudakpayung;Kelurahan Pakintelan dan Patemon;-;1.82;12702;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1005.pdf
Banyumanik;Jabungan;-;Kelurahan Kramas dan Meteseh;Kabupaten Semarang;Kelurahan Gedawang dan Kabupaten Semarang;Kelurahan Padangsari dan Gedawang;-;3.88;4819;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1003.pdf
Banyumanik;Padangsari;-;Kelurahan Pedalangan dan Kramas;Kelurahan Jabungan;Kelurahan Gedawang;Kelurahan Banyumanik dan Srondol Wetan;-;1.29;12262;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1010.pdf
Mijen;Purwosari;-;Kelurahan Mijen dan Jatibarang;Kelurahan Cepoko;Kelurahan Bubakan dan Polaman;Kelurahan Tambangan;-;4.38;5190;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1005.pdf
Mijen;Tambangan;-;Kelurahan Mijen dan Jatisari;Kelurahan Purwosari;Kelurahan Bubakan;Kelurahan Cangkiran dan Jatisari;-;2.84;5464;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1006.pdf
Tembalang;Kramas;-;Kelurahan Bulusan;Kelurahan Meteseh;Kelurahan Jabungan;Kelurahan Padangsari dan Pedalangan;-;1.15;4631;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1005.pdf
Gunungpati;Cepoko;-;Kelurahan Kandri dan Jatirejo;Kelurahan Nongkosawit dan Gunungpati;Kelurahan Polaman, Gunungpati, dan Kabupaten Kendal;Kelurahan Purwosari dan Jatibarang;-;2.83;6414;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1012.pdf
Gunungpati;Nongkosawit;-;Kelurahan Pongangan;Kelurahan Ngijo;Kelurahan Plalangan dan Gunungpati;Kelurahan Cepoko;-;2.38;5832;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1005.pdf
Banyumanik;Srondol Wetan;-;Kelurahan Sumurboto dan Pedalangan;Kelurahan Pedalangan dan Padangsari;Kelurahan Banyumanik;Kelurahan Srondol Kulon;-;1.94;21125;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1007.pdf
Mijen;Jatisari;-;Kelurahan Wonoplumbon dan Wonolopo;Kelurahan Mijen dan Tambangan;Kelurahan Cangkiran;Kabupaten Kendal;-;2.48;12834;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1013.pdf
Gunungpati;Patemon;-;Kelurahan Sekaran;Kelurahan Srondol Kulon dan Banyumanik;Kelurahan Pakintelan;Kelurahan Mangunsari, Ngijo, dan Kalisegoro;-;3.6;6416;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1008.pdf
Gunungpati;Ngijo;-;Kelurahan Kalisegoro;Kelurahan Patemon;Kelurahan Mangunsari dan Plalangan;Kelurahan Nongkosawit dan Pongangan;-;3.01;6224;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1007.pdf
Banyumanik;Pedalangan;-;Kelurahan Sumurboto dan Tembalang;Kelurahan Kramas, Bulusan, dan Tembalang;Kelurahan Padangsari;Kelurahan Srondol Wetan;-;2.44;12032;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1004.pdf
Tembalang;Rowosari;-;Kabupaten Demak;Kabupaten Demak;Kabupaten Semarang;Kelurahan Meteseh;-;7.83;14302;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1002.pdf
Mijen;Mijen;-;Kelurahan Jatibarang, Pesantren, dan Ngadirgo;Kelurahan Jatibarang;Kelurahan Purwosari dan Tambangan;Kelurahan Jatisari, Wonolopo, dan Ngadirgo;-;4.25;8036;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1008.pdf
Tembalang;Meteseh;-;Kelurahan Mangunharjo dan Sendangmulyo;Kelurahan Rowosari;Kelurahan Jabungan dan Kabupaten Semarang;Kelurahan Kramas dan Kelurahan Bulusan;-;5.63;24948;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1001.pdf
Banyumanik;Sumurboto;-;Kelurahan Tinjomoyo dan Ngesrep;Kelurahan Pedalangan dan Tembalang;Kelurahan Srondol Wetan dan Pedalangan;Kelurahan Srondol Kulon;-;1.72;9482;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1011.pdf
Tembalang;Bulusan;-;Kelurahan Mangunharjo;Kelurahan Meteseh;Kelurahan Meteseh dan Kramas;Kelurahan Tembalang;-;4.43;6564;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1004.pdf
Gunungpati;Jatirejo;-;Kelurahan Kedungpane dan Kandri;Kelurahan Kandri dan Cepoko;Kelurahan Cepoko dan Jatibarang;Kelurahan Jatibarang dan Kedungpane;-;2.27;2408;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1013.pdf
Mijen;Jatibarang;-;Kelurahan Kedungpane dan Pesantren;Kelurahan Jatirejo dan Kedungpane;Kelurahan Purwosari, Mijen, dan Cepoko;Kelurahan Mijen dan Pesantren;-;2.99;3684;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1009.pdf
Mijen;Wonolopo;-;Kelurahan Ngadirgo;Kelurahan Mijen dan Ngadirgo;Kelurahan Jatisari;Kelurahan Wonoplumbon;-;3.55;11428;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1007.pdf
Banyumanik;Srondol Kulon;-;Kelurahan Tinjomoyo;Kelurahan Sumurboto dan Srondol Wetan;Kelurahan Banyumanik;Kelurahan Sekaran dan Patemon;-;3.43;13108;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1006.pdf
Gunungpati;Kalisegoro;-;Kelurahan Sekaran;Kelurahan Sekaran dan Patemon;Kelurahan Ngijo;Kelurahan Pongangan;-;3.42;8088;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1015.pdf
Gunungpati;Pongangan;-;Kelurahan Sadeng;Kelurahan Kalisegoro dan Ngijo;Kelurahan Nongkosawit dan Ngijo;Kelurahan Kandri;-;3.67;9354;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1006.pdf
Tembalang;Tembalang;-;Kelurahan Jangli dan Sambiroto;Kelurahan Sambiroto, Bulusan, dan Mangunharjo;Kelurahan Bulusan dan Pedalangan;Kelurahan Sumurboto dan Ngesrep;-;3.54;5833;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1006.pdf
Gunungpati;Sekaran;-;Kelurahan Sukorejo;Kelurahan Srondol Kulon;Kelurahan Patemon dan Kalisegoro;Kelurahan Sadeng, Kalisegoro, dan Pongangan;-;5.98;5131;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1009.pdf
Tembalang;Mangunharjo;-;Kelurahan Sambiroto dan Sendangmulyo;Kelurahan Sendangmulyo;Kelurahan Meteseh dan Bulusan;Kelurahan Tembalang dan Sambiroto;-;2.57;13060;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1003.pdf
Banyumanik;Ngesrep;-;Kelurahan Jatingaleh dan Karanganyar Gunung;Kelurahan Jangli dan      Tembalang;Kelurahan Sumurboto;Kelurahan Tinjomoyo;-;2.63;14163;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1008.pdf
Gunungpati;Kandri;-;Kelurahan Kedungpane dan Sadeng;Kelurahan Pongangan dan Sadeng;Kelurahan Cepoko dan Nongkosawit;Kelurahan Jatirejo dan Kedungpane;-;4.19;7931;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1016.pdf
Tembalang;Sendangmulyo;-;Kelurahan Kedungmundu dan Pedurungan Kidul;Kelurahan Pedurungan Kidul dan Kabupaten Demak;Kelurahan Meteseh dan Kabupaten Demak;Kelurahan Mangunharjo dan Sambiroto;-;4.45;40373;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1011.pdf
Banyumanik;Tinjomoyo;-;Kelurahan Karangrejo dan Bendan Dhuwur;Kelurahan Ngesrep dan Sumurboto;Kelurahan Srondol Kulon;Kelurahan Sekaran dan Sukorejo;-;2.69;9665;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.11.1009.pdf
Mijen;Ngadirgo;-;Kelurahan Podorejo;Kelurahan Pesantren;Kelurahan Wonolopo dan Mijen;Kelurahan Wonoplumbon;-;4.16;7457;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1011.pdf
Tembalang;Sambiroto;-;Kelurahan Kedungmundu dan Tandang;Kelurahan Sendangmulyo dan Mangunharjo;Kelurahan Mangunharjo dan Tembalang;Kelurahan Tandang dan Jangli;-;2.51;16306;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1012.pdf
Gajahmungkur;Karangrejo;-;Kelurahan Gajahmungkur;Kelurahan Kaliwiru dan Jatingaleh;Kelurahan Tinjomoyo;Kelurahan Bendan Dhuwur dan Gajahmungkur;-;1.29;6786;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.09.1001.pdf
Mijen;Pesantren;-;Kelurahan Wates;Kelurahan Kedungpane dan Jatibarang;Kelurahan Jatibarang, Ngadirgo, dan Mijen;Kelurahan Ngadirgo dan Podorejo;-;6.34;3296;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1014.pdf
Gunungpati;Sadeng;-;Kelurahan Kalipancur dan Bambankerep;Kelurahan Sukorejo dan Sekaran;Kelurahan Pongangan dan Kandri;Kelurahan Kedungpane dan Kandri;-;4.55;15428;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1011.pdf
Candisari;Jatingaleh;-;Kelurahan Kaliwiru dan Karanganyar Gunung;Kelurahan Karanganyar Gunung;Kelurahan Ngesrep;Kelurahan Karangrejo dan Kaliwiru;-;1.2;11385;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.08.1002.pdf
Gunungpati;Sukorejo;-;Kelurahan Kalipancur dan Bendan Dhuwur;Kelurahan Tinjomoyo dan Bendan Dhuwur;Kelurahan Sekaran;Kelurahan Sadeng;-;4.68;5114;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.12.1010.pdf
Tembalang;Kedungmundu;-;Kelurahan Sendangguwo, Pedurungan Kidul, dan Gemah;Kelurahan Pedurungan Kidul;Kelurahan Sendangmulyo dan Sambiroto;Kelurahan Tandang dan Sendangguwo;-;1.87;13086;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1009.pdf
Candisari;Kaliwiru;-;Kelurahan Wonotingal dan Candi;Kelurahan Karanganyar Gunung dan Jatingaleh;Kelurahan Jatingaleh dan Karangrejo;Kelurahan Karangrejo dan Kelurahan Gajahmungkur;-;0.53;2985;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.08.1003.pdf
Pedurungan;Plamongansari;-;Kelurahan Penggaron Kidul dan Pedurungan Lor;Kabupaten Demak;Kabupaten Demak;Kelurahan Pedurungan Kidul;-;2.63;15057;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1006.pdf
Gajahmungkur;Bendan Dhuwur;-;Kelurahan Sampangan, Gajahmungkur, dan Bendan Ngisor;Kelurahan Gajahmungkur dan Karangrejo;Kelurahan Tinjomoyo dan Sukorejo;Kelurahan Kalipancur;-;1.03;4238;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.09.1002.pdf
Tembalang;Jangli;-;Kelurahan Jomblang dan Tandang;Kelurahan Tandang dan Sambiroto;Kelurahan Tembalang dan Ngesrep;Kelurahan Ngesrep dan Karanganyar Gunung;-;3.38;8310;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1007.pdf
Mijen;Kedungpane;-;Kelurahan Ngaliyan dan Bambankerep;Kelurahan Sadeng dan Kandri;Kelurahan Jatirejo dan Jatibarang;Kelurahan Pesantren dan Wates;-;7.08;8561;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1010.pdf
Candisari;Karanganyar Gunung;-;Kelurahan Candi dan Jomblang;Kelurahan Jangli;Kelurahan Ngesrep;Kelurahan Jatingaleh dan Kaliwiru;-;1.12;10904;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.08.1005.pdf
Mijen;Wonoplumbon;-;Kabupaten Kendal dan Kelurahan Podorejo;Kelurahan Ngadirgo, Podorejo, dan Wonolopo;Kabupaten Kendal dan Kelurahan Jatisari;Kabupaten Kendal;-;10.08;4528;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.14.1012.pdf
Tembalang;Tandang;-;Kelurahan Sendangguwo;Kelurahan Sambiroto dan Kedungmundu;Kelurahan Jangli dan Sambirejo;Kelurahan Jomblang;-;1.94;24961;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1008.pdf
Pedurungan;Pedurungan Kidul;-;Kelurahan Pedurungan Lor dan Pedurungan Tengah;Kelurahan Plamongansari;Kelurahan Kedungmundu dan Sendangmulyo;Kelurahan Gemah, Kedungmundu, dan Sendangmulyo;-;1.49;14715;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1008.pdf
Candisari;Jomblang;-;Kelurahan Lamper Kidul dan Lamper Tengah;Kelurahan Tandang dan Jangli;Kelurahan Karanganyar Gunung dan Jangli;Kelurahan Candi;-;1.26;19602;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.08.1004.pdf
Candisari;Wonotingal;-;Kelurahan Lempongsari dan Tegalsari;Kelurahan Candi;Kelurahan Kaliwiru;Kelurahan Gajahmungkur;-;0.82;7608;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.08.1007.pdf
Tembalang;Sendangguwo;-;Kelurahan Gemah;Kelurahan Kedungmundu;Kelurahan Kedungmundu dan Tandang;Kelurahan Lamper Tengah;-;1.45;23279;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.10.1010.pdf
Gajahmungkur;Sampangan;-;Kelurahan Ngemplak Simongan dan Petompon;Kelurahan Bendan Ngisor;Kelurahan Bendan Dhuwur;Kelurahan Manyaran;-;0.98;10611;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.09.1004.pdf
Gajahmungkur;Bendan Ngisor;-;Kelurahan Petompon;Kelurahan Gajahmungkur;Kelurahan Bendan Dhuwur;Kelurahan Sampangan;-;0.9;5679;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.09.1003.pdf
Semarang Selatan;Lamper Kidul;-;Kelurahan Lamper Lor dan Peterongan;Kelurahan Lamper Tengah;Kelurahan Jomblang;Kelurahan Candi;-;0.43;4050;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1009.pdf
Candisari;Candi;-;Kelurahan Wonodri;Kelurahan Lamper Kidul dan Jomblang;Kelurahan Karanganyar Gunung dan Kaliwiru;Kelurahan Wonotingal dan Tegalsari;-;0.68;10931;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.08.1001.pdf
Gajahmungkur;Gajahmungkur;-;Kelurahan Petompon, Bendungan, dan Lempongsari;Kelurahan Wonotingal dan Kaliwiru;Kelurahan Karangrejo;Kelurahan Bendan Ngisor dan Bendan Dhuwur;-;3.24;15440;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.09.1005.pdf
Pedurungan;Gemah;-;Kelurahan Palebon, Pedurungan Tengah, dan Kalicari;Kelurahan Pedurungan Kidul;Kelurahan Sendangguwo dan Kedungmundu;Kelurahan Gayamsari;-;1.26;16134;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1007.pdf
Pedurungan;Pedurungan Lor;-;Kelurahan Tlogomulyo;Kelurahan Penggaron Kidul;Kelurahan Pedurungan Kidul dan Plamongansari;Kelurahan Pedurungan Tengah;-;1.49;10468;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1009.pdf
Semarang Selatan;Lamper Tengah;-;Kelurahan Pandean Lamper dan Gayamsari;Kelurahan Sendangguwo;Kelurahan Jomblang;Kelurahan Lamper Kidul dan Lamper Lor;-;0.74;11896;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1010.pdf
Ngaliyan;Kalipancur;-;Kelurahan Purwoyoso, Manyaran, dan Kembangarum;Kelurahan Manyaran dan Bendan Dhuwur;Kelurahan Sukorejo dan Sadeng;Kelurahan Bambankerep;-;2.27;21048;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1005.pdf
Ngaliyan;Wates;-;Kelurahan Gondoriyo dan Bringin;Kelurahan Ngaliyan dan Kedungpane;Kelurahan Pesantren;Kelurahan Podorejo;-;5.03;6336;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1010.pdf
Semarang Selatan;Lamper Lor;-;Kelurahan Pandean Lamper;Kelurahan Lamper Tengah;Kelurahan Lamper Kidul;Kelurahan Peterongan;-;0.35;5548;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1008.pdf
Ngaliyan;Bambankerep;-;Kelurahan Purwoyoso;Kelurahan Kalipancur;Kelurahan Sadeng dan Kedungpane;Kelurahan Ngaliyan;-;3.34;6409;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1006.pdf
Pedurungan;Penggaron Kidul;-;Kabupaten Demak;Kabupaten Demak;Kelurahan Plamongansari;Kelurahan Pedurungan Lor dan Tlogomulyo;-;2.28;8041;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1001.pdf
Candisari;Tegalsari;-;Kelurahan Pleburan dan Wonodri;Kelurahan Candi;Kelurahan Wonotingal;Kelurahan Lempongsari;-;1.03;12895;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.08.1006.pdf
Semarang Barat;Manyaran;-;Kelurahan Kalibanteng Kidul, Gisikdrono, dan Ngemplak Simongan;Kelurahan Sampangan;Kelurahan Kalipancur;Kelurahan Kembangarum;-;1.77;18174;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1002.pdf
Gajahmungkur;Lempongsari;-;Kelurahan Mugasari dan Randusari;Kelurahan Tegalsari;Kelurahan Gajahmungkur dan Wonotingal;Kelurahan Bendungan;-;0.84;5361;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.09.1006.pdf
Gajahmungkur;Bendungan;-;Kelurahan Randusari;Kelurahan Lempongsari;Kelurahan Gajahmungkur;Kelurahan Petompon;-;0.46;3841;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.09.1008.pdf
Pedurungan;Pedurungan Tengah;-;Kelurahan Tlogosari Wetan dan Tlogomulyo;Kelurahan Pedurungan Lor;Kelurahan Pedurungan Kidul dan Gemah;Kelurahan Tlogosari Kulon dan Palebon;-;1.85;16992;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.06.1010.pdf
Gajahmungkur;Petompon;-;Kelurahan Barusari dan Randusari;Kelurahan Bendungan;Kelurahan Gajahmungkur, Sampangan, dan Bendan Ngisor;Kelurahan Ngemplak Simongan;-;0.9;5785;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.09.1007.pdf
Ngaliyan;Bringin;-;Kelurahan Tambakaji dan Gondoriyo;Kelurahan Ngaliyan;Kelurahan Wates;Kelurahan Gondoriyo;-;2.96;18502;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1003.pdf
Semarang Selatan;Peterongan;-;Kelurahan Karangturi dan Karangtempel;Kelurahan Lamper Lor dan Pandean Lamper;Kelurahan Lamper Kidul;Kelurahan Wonodri;-;0.6;5865;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1007.pdf
Ngaliyan;Ngaliyan;-;Kelurahan Purwoyoso dan Tambakaji;Kelurahan Bambankerep;Kelurahan Kedungpane;Kelurahan Wates, Tambakaji, dan Bringin;-;5.29;13085;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1007.pdf
Semarang Selatan;Wonodri;-;Kelurahan Karang Kidul;Kelurahan Peterongan;Kelurahan Candi dan Tegalsari;Kelurahan Pleburan;-;0.73;9445;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.07.1006.pdf
