kecamatan;kelurahan;jumlah_kelurahan;batas_wilayah.utara;batas_wilayah.timur;batas_wilayah.selatan;batas_wilayah.barat;karakteristik_topografi;luas_wilayah;total_penduduk;link_peta
Semarang Tengah;Kembangsari;-;Kelurahan Pandansari;Kelurahan Bangunharjo;Kelurahan Miroto;Kelurahan Sekayu;-;0.29;3574;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.01.1006.pdf
Semarang Tengah;Sekayu;-;Kelurahan Purwosari;Kelurahan Pandansari dan Kelurahan Kembangsari;Kelurahan Miroto, Pekunden, dan Randusari;Kelurahan Pindrikan Kidul dan Pindrikan Lor;-;0.62;3273;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.01.1007.pdf
Gayamsari;Siwalan;-;Kelurahan Sawah Besar;Kelurahan Muktiharjo Kidul, Tlogosari Kulon, dan Kalicari;Kelurahan Gayamsari;Kelurahan Sambirejo dan Sawah Besar;-;0.54;8063;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.04.1005.pdf
Gayamsari;Sambirejo;-;Kelurahan Sawah Besar;Kelurahan Siwalan;Kelurahan Pandean Lamper;Kelurahan Rejosari, Karangtempel, dan Bugangan;-;1.15;8328;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.04.1004.pdf
Semarang Tengah;Bangunharjo;-;Kelurahan Pandansari;Kelurahan Kauman dan Kranggan;Kelurahan Gabahan;Kelurahan Kembangsari;-;0.22;2183;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.01.1009.pdf
Semarang Barat;Krobokan;-;Kelurahan Tawangmas;Kelurahan Bulu Lor dan Pindrikan Lor;Kelurahan Cabean;Kelurahan Karangayu dan Tawangmas;-;0.87;14042;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1013.pdf
Semarang Timur;Kebonagung;-;Kelurahan Rejomulyo;Kelurahan Bugangan;Kelurahan Sarirejo;Kelurahan Purwodinatan dan Jagalan;-;0.24;4173;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.03.1004.pdf
Semarang Timur;Bugangan;-;Kelurahan Mlatibaru dan Mlatiharjo;Kelurahan Sambirejo;Kelurahan Rejosari;Kelurahan Kebonagung dan Sarirejo;-;0.51;7394;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.03.1006.pdf
Genuk;Bangetayu Kulon;-;Kelurahan Gebangsari dan Genuksari;Kelurahan Sembungharjo dan Bangetayu Wetan;Kelurahan Tlogosari Wetan, Tlogomulyo, dan Muktiharjo Kidul;Kelurahan Muktiharjo Kidul dan Muktiharjo Lor;-;1.99;19899;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1010.pdf
Genuk;Sembungharjo;-;Kelurahan Banjardowo dan Kelurahan Karangroto;Kelurahan Penggaron Lor;Kelurahan Bangetayu Wetan;Kelurahan Bangetayu Kulon dan Kelurahan Genuksari;-;2.15;15625;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1001.pdf
Semarang Tengah;Pandansari;-;Kelurahan Purwosari dan Kelurahan Dadapsari;Kelurahan Dadapsari;Kelurahan Kembangsari, Bangunharjo, dan Kauman;Kelurahan Sekayu;-;0.29;2265;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.01.1008.pdf
Semarang Tengah;Kauman;-;Kelurahan Pandansari dan Dadapsari;Kelurahan Purwodinatan;Kelurahan Kranggan;Kelurahan Bangunharjo;-;0.23;2225;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.01.1010.pdf
Ngaliyan;Wonosari;-;Kelurahan Mangkang Kulon, Mangunharjo, Mangkang Wetan, Randugarut, dan Karanganyar;Kelurahan Tambakaji;Kelurahan Gondoriyo dan Podorejo;Kabupaten Kendal;-;5.49;24331;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.15.1009.pdf
Semarang Utara;Bulu Lor;-;Kelurahan Panggung Kidul;Kelurahan Plombokan;Kelurahan Pindrikan Lor;Kelurahan Krobokan;-;0.68;13839;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1002.pdf
Semarang Tengah;Purwodinatan;-;Kelurahan Tanjung Mas;Kelurahan Rejomulyo dan Kebonagung;Kelurahan Jagalan;Kelurahan Kauman;-;0.39;4085;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.01.1011.pdf
Semarang Utara;Purwosari;-;Kelurahan Kuningan;Kelurahan Dadapsari;Kelurahan Pandansari, Pindrikan Lor, dan Sekayu;Kelurahan Plombokan;-;0.48;8082;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1004.pdf
Gayamsari;Sawah Besar;-;Kelurahan Kaligawe;Kelurahan Muktiharjo Kidul;Kelurahan Sambirejo dan Kelurahan Siwalan;Kelurahan Mlatiharjo;-;0.62;9139;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.04.1003.pdf
